wavelength,flux,error
2.46075,598.01,3.91
2.46088,597.79,3.91
2.461,597.45,3.91
2.46112,596.97,3.91
2.46125,596.37,3.91
2.46137,595.71,3.91
2.4615,595.01,3.91
2.46162,594.32,3.91
2.46175,593.73,3.91
2.46187,593.27,3.91
2.462,592.99,3.91
2.46212,592.88,3.91
2.46225,592.94,3.91
2.46237,593.13,3.92
2.4625,593.42,3.92
2.46263,593.78,3.92
2.46275,594.19,3.92
2.46287,594.62,3.92
2.463,595.05,3.92
2.46312,595.51,3.92
2.46325,595.99,3.92
2.46337,596.46,3.92
2.4635,596.96,3.92
2.46362,597.47,3.92
2.46375,598.04,3.92
2.46387,598.64,3.92
2.464,599.3,3.92
2.46412,600.05,3.92
2.46425,600.88,3.92
2.46438,601.76,3.92
2.4645,602.7,3.92
2.46462,603.66,3.92
2.46475,604.64,3.92
2.46487,605.61,3.94
2.465,606.55,3.94
2.46512,607.43,3.94
2.46525,608.24,3.94
2.46537,608.96,3.94
2.4655,609.63,3.94
2.46563,610.22,3.94
2.46575,610.74,3.94
2.46587,611.19,3.94
2.466,611.62,3.94
2.46613,612,3.94
2.46625,612.4,3.94
2.46637,612.8,3.94
2.4665,613.2,3.94
2.46662,613.58,3.94
2.46675,613.95,3.94
2.46687,614.28,3.94
2.467,614.56,3.94
2.46712,614.75,3.94
2.46725,614.88,3.95
2.46738,614.89,3.95
2.4675,614.83,3.95
2.46762,614.68,3.95
2.46775,614.5,3.95
2.46788,614.28,3.95
2.468,614.05,3.95
2.46812,613.85,3.95
2.46825,613.7,3.95
2.46837,613.61,3.95
2.4685,613.61,3.95
2.46862,613.71,3.95
2.46875,613.95,3.95
2.46887,614.28,3.95
2.469,614.67,3.95
2.46913,615.1,3.95
2.46925,615.54,3.95
2.46937,615.96,3.96
2.4695,616.31,3.96
2.46962,616.63,3.96
2.46975,616.89,3.96
2.46987,617.12,3.96
2.47,617.31,3.96
2.47012,617.51,3.96
2.47025,617.76,3.96
2.47037,618.08,3.96
2.4705,618.48,3.96
2.47062,618.97,3.96
2.47075,619.51,3.96
2.47088,620.14,3.96
2.471,620.79,3.96
2.47112,621.4,3.97
2.47125,621.97,3.97
2.47137,622.4,3.97
2.4715,622.68,3.97
2.47162,622.78,3.97
2.47175,622.7,3.97
2.47187,622.5,3.97
2.472,622.21,3.97
2.47213,621.89,3.97
2.47225,621.61,3.97
2.47237,621.38,3.97
2.4725,621.3,3.97
2.47263,621.37,3.97
2.47275,621.65,3.98
2.47287,622.1,3.98
2.473,622.73,3.98
2.47312,623.47,3.98
2.47325,624.26,3.98
2.47337,625.07,3.98
2.4735,625.78,3.98
2.47362,626.37,3.98
2.47375,626.81,3.98
2.47388,627.05,3.98
2.474,627.14,3.98
2.47412,627.08,3.99
2.47425,626.96,3.99
2.47438,626.79,3.99
2.4745,626.67,3.99
2.47462,626.61,3.99
2.47475,626.65,3.99
2.47487,626.81,3.99
2.475,627.08,3.99
2.47512,627.43,3.99
2.47525,627.83,3.99
2.47537,628.26,3.99
2.4755,628.65,4
2.47563,628.97,4
2.47575,629.16,4
2.47587,629.22,4
2.476,629.09,4
2.47613,628.83,4
2.47625,628.46,4
2.47637,628.01,4
2.4765,627.52,4
2.47662,627.02,4.02
2.47675,626.54,4.02
2.47687,626.1,4.02
2.477,625.7,4.02
2.47712,625.37,4.02
2.47725,625.11,4.02
2.47738,624.95,4.02
2.4775,624.89,4.02
2.47762,624.95,4.02
2.47775,625.18,4.02
2.47787,625.56,4.03
2.478,626.08,4.03
2.47812,626.77,4.03
2.47825,627.57,4.03
2.47837,628.4,4.03
2.4785,629.23,4.03
2.47862,630.03,4.03
2.47875,630.74,4.03
2.47887,631.37,4.03
2.479,631.91,4.04
2.47913,632.38,4.04
2.47925,632.79,4.04
2.47937,633.18,4.04
2.4795,633.55,4.04
2.47962,633.92,4.04
2.47975,634.33,4.04
2.47987,634.76,4.04
2.48,635.21,4.05
2.48012,635.7,4.05
2.48025,636.23,4.05
2.48038,636.8,4.05
2.4805,637.38,4.05
2.48062,638.02,4.05
2.48075,638.66,4.05
2.48088,639.28,4.05
2.481,639.86,4.06
2.48112,640.37,4.06
2.48125,640.79,4.06
2.48137,641.13,4.06
2.4815,641.34,4.06
2.48162,641.44,4.06
2.48175,641.4,4.06
2.48187,641.23,4.06
2.482,640.95,4.07
2.48213,640.53,4.07
2.48225,640.01,4.07
2.48237,639.41,4.07
2.4825,638.72,4.07
2.48263,638.02,4.07
2.48275,637.36,4.07
2.48287,636.74,4.07
2.483,636.28,4.08
2.48312,636.01,4.08
2.48325,636.03,4.08
2.48337,636.32,4.08
2.4835,636.91,4.08
2.48362,637.78,4.08
2.48375,638.92,4.08
2.48388,640.26,4.09
2.484,641.7,4.09
2.48412,643.2,4.09
2.48425,644.63,4.09
2.48438,645.89,4.09
2.4845,646.86,4.09
2.48462,647.51,4.09
2.48475,647.74,4.11
2.48487,647.55,4.11
2.485,647,4.11
2.48512,646.1,4.11
2.48525,644.98,4.11
2.48537,643.83,4.11
2.4855,642.74,4.11
2.48563,641.83,4.12
2.48575,641.14,4.12
2.48587,640.7,4.12
2.486,640.46,4.12
2.48612,640.38,4.12
2.48625,640.4,4.12
2.48637,640.48,4.12
2.4865,640.54,4.13
2.48662,640.63,4.13
2.48675,640.66,4.13
2.48688,640.66,4.13
2.487,640.6,4.13
2.48712,640.52,4.13
2.48725,640.39,4.13
2.48738,640.26,4.14
2.4875,640.14,4.14
2.48762,640.09,4.14
2.48775,640.12,4.14
2.48787,640.28,4.14
2.488,640.57,4.14
2.48812,641.01,4.15
2.48825,641.55,4.15
