2022 04 21.541902,15 25 36.058,+14 43 49.73,16.42 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 22.08848,15 25 34.411,+14 45 38.84,16.4 G,A16 – Tentlingen,MPS 1589001,
2022 04 22.10443,15 25 34.246,+14 45 42.19,16.3 G,A16 – Tentlingen,MPS 1589001,
2022 04 22.12120,15 25 34.037,+14 45 45.58,16.4 G,A16 – Tentlingen,MPS 1589001,
2022 04 23.413082,15 25 28.068,+14 50 09.92,16.19 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 23.414905,15 25 28.034,+14 50 10.39,16.16 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 23.419019,15 25 27.953,+14 50 11.15,16.22 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 23.433105,15 25 27.706,+14 50 14.71,16.09 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 23.502172,15 25 26.263,+14 50 25.40,16.15 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 23.506273,15 25 26.179,+14 50 26.23,16.15 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 23.511848,15 25 26.054,+14 50 27.02,16.14 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 23.523389,15 25 25.824,+14 50 28.82,16.14 o,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 25.941409,15 24 57.74,+14 55 15.8,16.3 G,"L54 – Berthelot Observatory, Hunedoara",MPEC H107,
2022 04 25.985554,15 24 56.56,+14 55 19.2,16.3 G,"L54 – Berthelot Observatory, Hunedoara",MPEC H107,
2022 04 26.022452,15 24 55.58,+14 55 21.8,16.2 G,"L54 – Berthelot Observatory, Hunedoara",MPEC H107,
2022 04 26.419361,15 24 50.119,+14 56 01.39,15.96 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 26.421186,15 24 50.064,+14 56 01.46,15.97 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 26.426740,15 24 49.891,+14 56 01.82,15.94 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 26.450535,15 24 49.142,+14 56 03.52,15.96 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 26.97533,15 24 39.50,+14 56 06.3,16.1 G,C23 – Olmen,MPS 1589001,
2022 04 26.97894,15 24 39.40,+14 56 06.7,16.0 G,C23 – Olmen,MPS 1589001,
2022 04 26.98215,15 24 39.32,+14 56 06.7,16.0 G,C23 – Olmen,MPS 1589001,
2022 04 27.391893,15 24 31.735,+14 56 30.52,16.18 c,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 27.393735,15 24 31.663,+14 56 30.62,16.16 c,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 27.397390,15 24 31.550,+14 56 30.70,16.21 c,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 27.432889,15 24 30.317,+14 56 31.70,16.23 c,"T05 – ATLAS-HKO, Haleakala",MPS 1589001,
2022 04 27.482773,15 24 28.490,+14 56 33.00,15.98 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 27.486460,15 24 28.354,+14 56 33.07,15.89 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
2022 04 27.522094,15 24 27.065,+14 56 32.78,15.89 o,"T08 – ATLAS-MLO, Mauna Loa",MPS 1589001,
