"epoch.mjd","a","e","i","om","w","ma","epoch","q","tp","n_obs_used"
55057,3.411,0.6012,7.28,300.11,148.72,330.19,2455057.5,1.360,2455248.01,1241
55592,4.719,0.0300,7.91,137.31,231.75,302.81,2455592.5,4.578,2456187.44,913
57130,5.86,0.3821,23.46,55.06,4.87,281.41,2457130.5,3.621,2458261.69,877
56179,3.967,0.4791,17.28,337.00,18.20,358.81,2456179.5,2.067,2456189.02,969
53190,7.73,0.8351,95.70,1.40,47.09,343.87,2453190.5,1.275,2453542.35,335
55340,3.052,0.5960,27.82,31.24,356.31,14.15,2455340.5,1.233,2455263.92,2995
54059,3.68,0.4760,12.50,103.35,348.05,91.67,2454059.5,1.928,2453402.85,355
57002,3.658,0.5403,16.26,88.31,326.00,181.49,2457002.5,1.681,2458269.41,1234
52114,18.05,0.6216,15.91,0.64,126.21,5.18,2452114.5,6.830,2451711.29,143
52819,13.88,0.3831,15.37,64.49,321.88,7.70,2452819.5,8.564,2452415.34,168
53075,16.14,0.2700,19.13,295.84,343.65,16.20,2453075.5,11.784,2452009.44,91
55839,3.624,0.6095,21.93,356.48,13.92,308.15,2455839.5,1.415,2456202.43,3371
54464,2.604,0.7668,11.30,176.21,217.98,195.50,2454464.5,0.607,2455165.98,1235
54598,4.208,0.3042,10.13,143.01,225.38,95.49,2454598.5,2.928,2453762.13,273
57879,3.557,0.5020,21.94,101.71,347.19,269.24,2457879.5,1.771,2458497.26,632
55534,3.536,0.3672,11.78,38.66,181.46,114.80,2455534.5,2.237,2454760.09,629
55916,5.692,0.2613,16.50,100.50,29.40,95.41,2455916.5,4.205,2454602.06,1167
55465,3.489,0.4222,6.09,126.44,51.14,212.81,2455465.5,2.016,2456438.70,846
53849,24.3,0.9544,31.22,272.07,60.45,358.96,2453849.5,1.107,2453976.18,1702
56251,3.669,0.4730,10.98,103.57,296.95,325.64,2456251.5,1.934,2456496.52,1034
54829,5.909,0.3084,19.88,115.85,295.44,26.91,2454829.5,4.087,2454437.35,302
55718,3.85,0.3556,16.89,84.65,95.30,144.34,2455718.5,2.481,2454612.06,776
56908,3.839,0.7073,16.98,37.68,333.80,11.75,2456908.5,1.124,2456818.83,88
53241,2.931,0.6663,16.91,75.10,51.43,184.06,2453241.5,0.978,2454137.33,197
55996,4.495,0.1350,18.74,5.84,160.90,145.49,2455996.5,3.888,2454589.94,723
56460,3.522,0.6043,1.55,277.74,78.06,353.82,2456460.5,1.394,2456501.97,349
56473,3.1,0.6993,14.01,214.09,181.94,57.87,2456473.5,0.932,2456153.05,735
55759,4.95,0.1269,28.55,327.59,287.32,102.40,2455759.5,4.321,2454615.47,877
55601,4.494,0.1732,13.66,111.74,134.74,86.86,2455601.5,3.715,2454762.08,296
57800,4.384,0.4149,10.51,358.98,26.77,359.89,2457800.5,2.565,2457801.54,1150
54753,2.917,0.5977,20.40,282.20,15.30,88.23,2454753.5,1.174,2454307.44,1450
54370,4.24,0.5207,2.19,336.12,49.74,9.12,2454370.5,2.032,2454289.71,330
55221,3.533,0.4207,8.76,106.51,274.21,128.31,2455221.5,2.047,2454357.06,779
54160,6.465,0.7741,24.57,51.66,312.78,342.54,2454160.5,1.461,2454451.74,139
57107,3.576,0.3942,10.69,335.19,8.44,17.68,2457107.5,2.166,2456986.19,870
57520,4,0.5756,11.14,351.99,130.71,8.69,2457520.5,1.698,2457449.94,198
54517,6.479,0.3150,36.37,243.26,249.65,339.96,2454517.5,4.438,2454852.92,252
53074,3.781,0.4313,19.38,24.37,11.60,168.03,2453074.5,2.150,2451820.84,237
53966,2.867,0.6299,25.56,66.40,188.75,230.30,2453966.5,1.061,2454605.50,323
